CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
4.7,1597.0,30.9,1573.0,652.0,424.0,167.0,2307.0,1956.0,24.8,57.7,1.7765
8.0,1884.0,43.7,1846.0,895.0,348.0,194.0,2595.0,2203.0,24.6,58.9,1.8005
7.7,1835.0,40.0,1770.0,826.0,358.0,172.0,2474.0,2073.0,23.9,61.8,1.8088
6.8,1759.0,35.9,1684.0,648.0,373.0,134.0,2378.0,1923.0,23.0,65.9,1.8319
6.0,1666.0,30.1,1553.0,629.0,409.0,130.0,2170.0,1780.0,22.4,67.7,1.8161
3.6,1440.0,24.3,1412.0,446.0,494.0,104.0,2016.0,1455.0,22.6,61.4,1.6645
3.6,1392.0,20.6,1313.0,524.0,517.0,119.0,1866.0,1478.0,22.6,61.5,1.6636
3.3,1357.0,17.7,1230.0,404.0,542.0,103.0,1834.0,1373.0,25.2,53.3,1.6834
4.4,1630.0,28.7,1520.0,447.0,427.0,118.0,2166.0,1691.0,25.9,55.8,1.8347
6.0,1720.0,34.8,1661.0,576.0,382.0,120.0,2403.0,1846.0,25.1,59.4,1.8632
5.0,1600.0,27.5,1492.0,486.0,432.0,107.0,2160.0,1665.0,24.7,58.7,1.8001
4.3,1525.0,24.9,1427.0,439.0,450.0,104.0,2085.0,1577.0,23.6,62.2,1.7863
3.8,1459.0,22.9,1375.0,412.0,467.0,111.0,2007.0,1690.0,26.0,51.9,1.7148
5.5,1612.0,27.7,1496.0,548.0,429.0,137.0,2127.0,1743.0,26.9,48.6,1.7017
5.4,1654.0,29.8,1546.0,494.0,435.0,152.0,2176.0,2007.0,26.2,48.9,1.634
8.4,1808.0,40.0,1771.0,686.0,373.0,163.0,2486.0,2235.0,24.3,54.3,1.6276
6.8,1681.0,35.1,1666.0,556.0,397.0,135.0,2339.0,1998.0,23.3,58.1,1.6457
4.5,1494.0,25.5,1443.0,467.0,454.0,119.0,2020.0,1795.0,22.3,62.5,1.6616
3.0,1356.0,16.2,1187.0,441.0,534.0,102.0,1738.0,1465.0,23.3,57.5,1.6169
3.4,1414.0,19.4,1279.0,414.0,504.0,118.0,1854.0,1583.0,25.0,52.4,1.6356
3.3,1361.0,16.3,1189.0,420.0,549.0,120.0,1776.0,1351.0,25.6,48.3,1.5641
4.0,1475.0,21.0,1324.0,475.0,490.0,115.0,1925.0,1530.0,23.3,57.9,1.6376
4.6,1537.0,23.1,1381.0,526.0,469.0,118.0,2016.0,1615.0,22.2,63.6,1.6763
4.3,1482.0,20.3,1305.0,472.0,503.0,128.0,1874.0,1464.0,22.9,57.6,1.5885
4.4,1477.0,26.7,1471.0,624.0,455.0,146.0,2031.0,1750.0,22.6,54.5,1.4737
4.0,1409.0,23.6,1393.0,546.0,484.0,157.0,1874.0,1709.0,24.6,47.1,1.4378
4.5,1495.0,26.4,1465.0,597.0,451.0,158.0,2043.0,1786.0,24.9,48.3,1.4942
5.3,1606.0,30.9,1573.0,688.0,419.0,175.0,2165.0,1900.0,24.9,50.0,1.5522
5.8,1669.0,32.8,1615.0,760.0,404.0,166.0,2232.0,1963.0,24.0,55.0,1.6211
8.4,1822.0,45.9,1890.0,918.0,347.0,187.0,2641.0,2161.0,23.2,58.7,1.651
9.5,1908.0,52.1,2007.0,952.0,325.0,180.0,2775.0,2372.0,22.5,61.5,1.6579
6.2,1664.0,36.6,1699.0,685.0,385.0,134.0,2305.0,2062.0,22.2,61.0,1.6071
5.0,1465.0,24.0,1404.0,561.0,468.0,127.0,1962.0,1736.0,22.6,58.3,1.5829
3.7,1327.0,18.7,1259.0,481.0,539.0,160.0,1826.0,1434.0,22.4,60.8,1.6261
3.4,1301.0,17.3,1218.0,406.0,553.0,133.0,1806.0,1399.0,22.6,61.1,1.6596
3.4,1301.0,16.9,1208.0,419.0,560.0,147.0,1781.0,1417.0,23.6,57.3,1.645
3.9,1394.0,19.1,1272.0,461.0,526.0,135.0,1869.0,1442.0,22.9,61.6,1.7014
3.7,1385.0,18.7,1260.0,493.0,528.0,129.0,1850.0,1425.0,22.3,64.3,1.7055
3.7,1394.0,16.4,1193.0,496.0,547.0,110.0,1811.0,1386.0,23.2,65.6,1.8435
5.8,1570.0,32.9,1617.0,844.0,426.0,151.0,2170.0,1944.0,22.1,56.6,1.4851
4.9,1426.0,25.6,1445.0,667.0,477.0,151.0,1970.0,1782.0,24.0,50.0,1.4679
5.1,1535.0,31.2,1578.0,583.0,440.0,150.0,2125.0,1921.0,25.7,45.6,1.487
7.5,1678.0,37.9,1727.0,726.0,390.0,190.0,2318.0,2039.0,25.5,49.7,1.5985
5.8,1605.0,32.3,1603.0,674.0,415.0,168.0,2199.0,1912.0,25.2,50.6,1.5989
5.9,1559.0,31.5,1586.0,544.0,421.0,127.0,2197.0,1827.0,25.4,50.7,1.6187
6.8,1713.0,38.0,1728.0,715.0,390.0,140.0,2386.0,1919.0,24.4,56.0,1.6885
7.9,1751.0,44.1,1853.0,789.0,358.0,158.0,2496.0,2013.0,23.0,62.1,1.7283
4.6,1390.0,24.4,1414.0,455.0,487.0,117.0,1959.0,1428.0,23.3,53.1,1.496
2.1527495439145157,1360.0,19.7,1287.0,523.0,517.0,130.0,1755.0,1478.0,23.6,48.0,1.3757
2.1527495439145157,1305.0,17.4,1223.0,460.0,545.0,120.0,1720.0,1414.0,23.7,49.8,1.4433
2.1527495439145157,1337.0,20.2,1302.0,417.0,507.0,139.0,1786.0,1465.0,24.7,47.4,1.4527
2.1527495439145157,1530.0,24.8,1425.0,595.0,457.0,143.0,1975.0,1652.0,26.6,45.5,1.5555
2.1527495439145157,1915.0,45.9,1889.0,1052.0,340.0,186.0,2603.0,2110.0,24.8,53.9,1.6683
8.7,1882.0,47.5,1920.0,1014.0,328.0,171.0,2609.0,2204.0,23.1,61.1,1.7082
5.8,1589.0,33.0,1619.0,633.0,406.0,124.0,2216.0,1780.0,22.2,63.7,1.6865
4.4,1460.0,25.0,1430.0,524.0,466.0,125.0,1932.0,1604.0,23.0,49.0,1.362
8.1,1870.0,45.0,1871.0,1001.0,351.0,180.0,2483.0,2165.0,23.0,54.2,1.5066
0.2,689.0,0.3,407.0,13.0,1757.0,13.0,895.0,333.0,11.3,49.5,0.6615
0.2,698.0,0.4,424.0,20.0,1665.0,18.0,903.0,339.0,10.8,50.9,0.657
0.3,720.0,0.6,458.0,33.0,1536.0,26.0,917.0,358.0,10.9,50.1,0.6519
5.9,1341.0,31.0,1575.0,742.0,503.0,183.0,1778.0,1571.0,11.3,50.9,0.679
0.2,715.0,0.5,445.0,32.0,1601.0,29.0,925.0,373.0,8.0,64.5,0.695
0.6,718.0,1.0,500.0,63.0,1401.0,44.0,914.0,373.0,10.4,53.7,0.6749
0.3,689.0,0.7,470.0,36.0,1643.0,26.0,863.0,305.0,9.8,51.3,0.6225
0.3,678.0,0.4,427.0,24.0,1771.0,20.0,853.0,286.0,9.5,52.2,0.6198
0.2,655.0,0.2,402.0,20.0,2077.0,17.0,814.0,268.0,10.0,45.7,0.5598
0.7,786.0,1.2,522.0,97.0,1253.0,68.0,910.0,699.0,6.2,61.0,0.5824
3.3,1234.0,15.4,1161.0,664.0,629.0,200.0,1386.0,1318.0,6.3,61.7,0.5926
3.2,1241.0,14.6,1135.0,600.0,622.0,213.0,1280.0,1474.0,11.4,45.4,0.6113
2.4,1242.0,16.2,1185.0,733.0,625.0,232.0,1297.0,1511.0,4.9,55.8,0.4882
3.1,1394.0,63.7,2214.0,801.0,411.0,218.0,1629.0,2311.0,6.2,51.8,0.4952
2.7,1252.0,25.4,1439.0,884.0,559.0,239.0,1383.0,1798.0,6.8,49.8,0.4959
2.3,1255.0,20.1,1301.0,784.0,571.0,224.0,1355.0,1750.0,7.3,50.6,0.5184
6.3,1738.0,38.3,1735.0,1301.0,365.0,240.0,1917.0,2434.0,8.9,53.4,0.6117
6.9,1766.0,37.6,1720.0,1345.0,361.0,245.0,1881.0,2515.0,9.1,53.8,0.6216
6.5,1706.0,33.9,1641.0,1218.0,381.0,239.0,1778.0,2522.0,8.9,54.2,0.6183
2.4,1392.0,16.9,1206.0,650.0,521.0,164.0,1347.0,2199.0,8.5,57.8,0.6432
3.0,1216.0,11.7,1039.0,443.0,685.0,132.0,1183.0,1378.0,8.6,54.3,0.606
4.6,1352.0,16.4,1191.0,658.0,570.0,169.0,1362.0,1796.0,11.6,51.2,0.6965
3.1,1235.0,12.4,1065.0,409.0,640.0,133.0,1213.0,1594.0,11.3,50.1,0.672
3.4,1275.0,16.4,1193.0,587.0,596.0,140.0,1389.0,1393.0,6.4,65.6,0.6348
0.8,848.0,2.4,612.0,83.0,1169.0,62.0,852.0,703.0,4.8,49.9,0.4325
3.0,1228.0,12.5,1068.0,405.0,658.0,134.0,1264.0,1238.0,5.2,73.1,0.6535
0.6,779.0,0.7,466.0,46.0,1393.0,39.0,881.0,454.0,8.6,58.8,0.6603
8.5,1630.0,33.1,1622.0,1089.0,421.0,247.0,1757.0,2238.0,8.0,45.9,0.4936
8.7,1704.0,36.1,1689.0,1070.0,402.0,242.0,1820.0,2480.0,7.1,50.3,0.51
9.1,1701.0,36.3,1692.0,1220.0,402.0,252.0,1832.0,2415.0,6.2,56.9,0.5419
5.0,1441.0,20.6,1314.0,825.0,517.0,196.0,1389.0,2051.0,6.2,56.8,0.5421
4.2,1376.0,17.0,1209.0,740.0,549.0,190.0,1283.0,2041.0,6.1,54.7,0.5201
4.6,1412.0,17.2,1216.0,759.0,543.0,187.0,1300.0,2059.0,6.0,55.6,0.5244
3.9,1352.0,14.6,1137.0,610.0,567.0,174.0,1234.0,2016.0,5.1,59.0,0.5248
3.4,1285.0,12.1,1052.0,465.0,605.0,158.0,1164.0,1967.0,5.1,58.4,0.517
4.8,1349.0,14.6,1136.0,539.0,575.0,149.0,1299.0,1810.0,5.7,61.3,0.5657
6.9,1561.0,24.8,1425.0,772.0,465.0,197.0,1624.0,2101.0,9.8,52.4,0.6349
4.7,1472.0,16.6,1198.0,832.0,555.0,191.0,1344.0,1735.0,9.0,51.8,0.5961
3.6,1328.0,11.4,1029.0,622.0,637.0,172.0,1188.0,1611.0,8.1,54.1,0.5882
3.4,1347.0,13.0,1084.0,560.0,582.0,174.0,1290.0,2004.0,8.3,58.2,0.6391
3.1,1267.0,15.6,1166.0,535.0,567.0,179.0,1382.0,1505.0,8.9,60.8,0.6921
3.0,1279.0,15.2,1154.0,515.0,573.0,179.0,1391.0,1544.0,10.5,55.1,0.6993
3.3,1235.0,12.8,1078.0,505.0,616.0,166.0,1265.0,1519.0,7.6,65.3,0.6842
3.6,1289.0,14.7,1140.0,560.0,590.0,168.0,1317.0,1532.0,6.5,67.6,0.6608
3.0,1231.0,11.1,1017.0,492.0,655.0,151.0,1207.0,1414.0,5.2,70.0,0.6232
3.8,1289.0,13.6,1104.0,531.0,623.0,165.0,1257.0,1499.0,5.2,67.8,0.6028
3.0,1257.0,15.9,1176.0,552.0,612.0,169.0,1357.0,1365.0,1.8,63.3,0.4464
4.1,1222.0,18.0,1239.0,614.0,574.0,199.0,1346.0,1472.0,2.4,60.2,0.4426
4.0,1294.0,21.2,1330.0,676.0,535.0,193.0,1363.0,1725.0,11.4,28.7,0.3865
8.7,1615.0,37.2,1712.0,1230.0,384.0,225.0,1811.0,2312.0,7.8,48.1,0.5115
3.6,1256.0,16.7,1201.0,582.0,563.0,181.0,1251.0,1699.0,7.2,50.6,0.517
3.0,1205.0,13.4,1098.0,460.0,610.0,172.0,1170.0,1587.0,6.0,53.3,0.5008
3.1,1284.0,16.8,1204.0,552.0,599.0,167.0,1337.0,1531.0,3.9,57.3,0.4661
5.1,1350.0,20.3,1305.0,839.0,509.0,175.0,1383.0,1745.0,4.3,56.8,0.4768
3.8,1342.0,17.2,1215.0,796.0,542.0,196.0,1332.0,1806.0,5.5,54.9,0.4985
4.9,1557.0,25.1,1432.0,1022.0,445.0,234.0,1605.0,2068.0,5.5,66.1,0.601
5.2,1610.0,28.0,1502.0,1023.0,420.0,240.0,1697.0,2087.0,5.5,69.3,0.6331
4.6,1583.0,26.1,1457.0,1065.0,431.0,243.0,1640.0,1994.0,5.0,75.5,0.6667
4.9,1605.0,24.5,1416.0,1099.0,436.0,240.0,1614.0,1941.0,5.3,77.4,0.6954
2.1527495439145157,830.0,0.9,492.0,53.0,1263.0,52.0,948.0,578.0,4.7,78.9,0.682
2.1527495439145157,840.0,1.2,515.0,72.0,1235.0,57.0,941.0,563.0,5.0,75.0,0.6627
0.9,831.0,1.3,530.0,75.0,1169.0,62.0,893.0,472.0,8.5,51.9,0.5766
0.6,810.0,0.7,470.0,41.0,1315.0,40.0,863.0,412.0,7.8,54.2,0.5755
0.6,822.0,0.9,493.0,50.0,1278.0,45.0,876.0,453.0,7.1,56.0,0.569
3.4,1256.0,14.4,1130.0,636.0,616.0,162.0,1316.0,1311.0,7.0,56.3,0.566
4.4,1326.0,17.4,1223.0,854.0,547.0,190.0,1381.0,1613.0,8.3,50.5,0.5558
2.8,1220.0,13.0,1085.0,411.0,618.0,150.0,1205.0,1531.0,8.7,48.3,0.5458
2.4,1256.0,12.2,1056.0,469.0,582.0,138.0,1230.0,1575.0,6.4,63.9,0.6192
5.7,1578.0,29.0,1527.0,875.0,419.0,179.0,1761.0,2086.0,7.9,60.0,0.6406
2.9,1300.0,13.9,1113.0,402.0,573.0,142.0,1291.0,1845.0,12.8,46.9,0.6919
2.1527495439145157,831.0,1.0,498.0,50.0,1237.0,48.0,855.0,443.0,5.8,59.5,0.5519
0.3,791.0,0.6,459.0,43.0,1421.0,40.0,809.0,390.0,6.6,51.3,0.5026
0.5,836.0,1.2,520.0,86.0,1296.0,67.0,832.0,479.0,7.0,47.2,0.4745
2.1527495439145157,759.0,0.2,399.0,19.0,1696.0,19.0,749.0,288.0,4.3,51.6,0.4323
2.1527495439145157,758.0,0.2,388.0,20.0,1785.0,20.0,765.0,274.0,3.7,56.3,0.453
2.1527495439145157,761.0,0.1,383.0,39.0,1745.0,35.0,787.0,289.0,3.3,58.1,0.4559
2.1527495439145157,762.0,0.4,434.0,77.0,1556.0,60.0,763.0,318.0,3.9,47.3,0.3862
2.1527495439145157,804.0,1.5,546.0,81.0,1194.0,67.0,796.0,400.0,3.9,50.6,0.4127
2.1527495439145157,788.0,1.1,514.0,63.0,1285.0,55.0,771.0,354.0,3.9,47.7,0.3901
2.1527495439145157,788.0,0.9,487.0,55.0,1346.0,49.0,769.0,329.0,4.0,47.8,0.3939
2.1527495439145157,763.0,0.4,428.0,31.0,1532.0,30.0,757.0,296.0,3.9,50.9,0.4144
2.1527495439145157,747.0,0.2,390.0,20.0,1775.0,20.0,738.0,266.0,3.3,52.8,0.4137
2.1527495439145157,744.0,0.1,383.0,17.0,1881.0,17.0,720.0,253.0,2.7,53.9,0.4062
2.1527495439145157,774.0,0.5,441.0,42.0,1646.0,35.0,760.0,282.0,2.8,54.4,0.411
0.4,778.0,0.3,417.0,27.0,1531.0,26.0,745.0,312.0,4.1,45.9,0.3804
0.6,849.0,1.2,522.0,56.0,1158.0,51.0,779.0,467.0,3.6,48.0,0.3835
0.5,818.0,0.9,486.0,58.0,1282.0,49.0,781.0,422.0,4.0,47.8,0.3919
0.7,793.0,0.8,480.0,70.0,1306.0,60.0,745.0,376.0,1.9,49.7,0.3528
0.5,776.0,0.5,445.0,37.0,1460.0,34.0,737.0,330.0,1.4,53.8,0.3687
0.5,766.0,0.5,448.0,33.0,1494.0,31.0,734.0,321.0,1.0,54.7,0.3657
0.4,774.0,0.6,458.0,43.0,1473.0,37.0,735.0,334.0,1.4,52.3,0.3591
0.5,801.0,0.9,494.0,73.0,1324.0,58.0,754.0,395.0,1.6,51.0,0.3561
4.1,1491.0,17.2,1215.0,878.0,503.0,196.0,1343.0,2038.0,4.4,58.8,0.4979
4.5,1507.0,19.8,1292.0,1017.0,479.0,227.0,1379.0,2110.0,7.3,50.8,0.5226
4.0,1322.0,15.1,1151.0,573.0,566.0,174.0,1286.0,1446.0,2.7,63.4,0.4787
6.7,1549.0,27.3,1485.0,883.0,422.0,224.0,1638.0,1930.0,2.8,64.2,0.4859
5.6,1416.0,19.6,1285.0,824.0,501.0,230.0,1390.0,1809.0,5.8,53.1,0.4942
4.8,1253.0,19.5,1284.0,612.0,536.0,171.0,1285.0,1618.0,10.5,25.1,0.3194
3.0,1382.0,16.7,1202.0,728.0,534.0,275.0,1352.0,1630.0,1.3,64.8,0.441
5.6,1544.0,29.1,1530.0,975.0,416.0,309.0,1706.0,2030.0,2.1,62.2,0.4491
6.4,1655.0,29.0,1527.0,966.0,393.0,249.0,1758.0,2203.0,10.3,52.4,0.6578
2.7,1314.0,12.6,1069.0,471.0,571.0,216.0,1271.0,1662.0,8.3,57.6,0.6304
3.0,1368.0,15.5,1164.0,528.0,524.0,217.0,1350.0,1674.0,6.3,65.1,0.6237
3.1,1308.0,16.3,1189.0,566.0,534.0,274.0,1325.0,1656.0,7.7,49.8,0.5267
3.1,1263.0,12.7,1074.0,708.0,614.0,283.0,1198.0,1403.0,2.0,63.6,0.4564
4.0,1428.0,13.0,1085.0,550.0,526.0,213.0,1268.0,2023.0,8.3,53.3,0.5843
3.6,1463.0,12.6,1069.0,422.0,530.0,192.0,1279.0,1967.0,7.1,58.1,0.5885
4.2,1494.0,14.2,1124.0,541.0,504.0,211.0,1313.0,1931.0,5.8,64.3,0.5964
4.3,1462.0,12.9,1080.0,599.0,522.0,229.0,1274.0,1889.0,5.3,66.8,0.5979
2.3,1321.0,11.9,1046.0,496.0,562.0,224.0,1263.0,1610.0,6.0,62.8,0.5929
2.4,1323.0,12.0,1049.0,433.0,550.0,207.0,1290.0,1619.0,7.1,59.3,0.6005
2.7,1381.0,11.9,1045.0,496.0,541.0,221.0,1307.0,1706.0,7.8,58.0,0.6136
3.4,1480.0,16.2,1186.0,615.0,498.0,229.0,1382.0,1882.0,9.0,54.7,0.6271
3.3,1507.0,15.7,1170.0,574.0,488.0,224.0,1392.0,1999.0,11.0,51.4,0.6725
3.6,1363.0,16.1,1183.0,854.0,520.0,288.0,1273.0,1643.0,5.2,48.3,0.4304
2.1527495439145157,874.0,0.7,472.0,49.0,1179.0,45.0,803.0,382.0,6.4,49.8,0.4814
0.4,872.0,0.8,476.0,36.0,1249.0,35.0,794.0,350.0,6.9,48.1,0.4796
2.9,1271.0,11.5,1031.0,484.0,618.0,236.0,1138.0,1464.0,5.4,51.8,0.4698
2.1527495439145157,879.0,0.5,447.0,38.0,1317.0,36.0,910.0,348.0,4.0,81.5,0.6712
0.7,888.0,1.1,511.0,71.0,1112.0,66.0,963.0,512.0,3.9,83.1,0.6787
0.4,851.0,0.5,440.0,46.0,1349.0,46.0,918.0,377.0,3.4,85.4,0.6736
5.4,1501.0,24.0,1403.0,757.0,418.0,243.0,1789.0,1589.0,4.6,80.3,0.6889
3.0,1209.0,12.9,1082.0,407.0,573.0,238.0,1355.0,1105.0,6.5,71.0,0.6903
0.6,844.0,0.7,466.0,77.0,1261.0,68.0,894.0,478.0,4.1,76.0,0.6304
0.6,860.0,1.0,497.0,72.0,1251.0,66.0,912.0,442.0,4.2,75.9,0.6311
3.1,1224.0,12.6,1071.0,431.0,590.0,244.0,1331.0,1240.0,4.6,78.2,0.6686
2.9,1209.0,11.4,1028.0,425.0,619.0,243.0,1264.0,1254.0,4.2,79.7,0.6647
2.7,1207.0,11.2,1023.0,473.0,629.0,188.0,1233.0,1373.0,6.2,62.4,0.5958
4.8,1256.0,11.5,1032.0,488.0,612.0,189.0,1230.0,1371.0,6.3,60.4,0.5811
0.6,823.0,1.0,503.0,60.0,1268.0,56.0,755.0,332.0,4.0,51.0,0.42
0.3,781.0,0.4,425.0,29.0,1609.0,28.0,667.0,261.0,3.8,48.0,0.3879
0.3,781.0,0.3,409.0,25.0,1664.0,25.0,669.0,252.0,3.6,50.3,0.4022
0.3,779.0,0.2,402.0,34.0,1665.0,31.0,684.0,257.0,2.8,52.6,0.3972
0.4,817.0,0.7,462.0,89.0,1378.0,66.0,732.0,308.0,2.5,52.7,0.3908
5.1,1299.0,23.3,1384.0,819.0,523.0,240.0,1325.0,1855.0,7.2,25.6,0.2611
6.1,1567.0,28.0,1502.0,959.0,399.0,205.0,1848.0,1913.0,5.0,69.4,0.6118
3.3,1330.0,14.9,1145.0,597.0,537.0,188.0,1399.0,1668.0,8.6,57.6,0.6471
3.6,1253.0,13.3,1094.0,481.0,575.0,183.0,1327.0,1430.0,10.8,48.1,0.6235
3.6,1258.0,14.9,1144.0,414.0,558.0,189.0,1336.0,1509.0,8.9,52.5,0.5996
0.7,859.0,1.3,527.0,60.0,1203.0,57.0,810.0,342.0,6.8,52.9,0.5245
0.6,859.0,0.8,479.0,51.0,1285.0,48.0,822.0,313.0,5.8,65.0,0.6029
